person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
28,40000,MORTGAGE,1.0,VENTURE,C,2400,13.49,0.06,N,10,no
32,150000,MORTGAGE,11.0,PERSONAL,A,20000,7.9,0.13,N,10,no
23,50400,OWN,7.0,EDUCATION,D,7000,15.99,0.14,N,2,no
34,80000,RENT,4.0,VENTURE,A,5000,,0.06,N,9,no
29,60500,RENT,13.0,VENTURE,C,3000,13.61,0.05,N,9,no
23,55000,RENT,2.0,EDUCATION,A,3000,6.99,0.05,N,2,no
24,37200,MORTGAGE,2.0,MEDICAL,A,8000,7.88,0.22,N,4,yes
23,10000,RENT,1.0,VENTURE,B,2100,12.21,0.21,N,3,yes
26,48000,RENT,0.0,MEDICAL,C,12000,11.66,0.25,N,3,no
24,88000,MORTGAGE,2.0,EDUCATION,G,25000,18.84,0.28,N,2,yes
24,30000,RENT,0.0,EDUCATION,D,9000,15.58,0.3,N,3,yes
25,64800,RENT,1.0,PERSONAL,C,7000,12.73,0.11,N,2,no
25,57000,RENT,4.0,PERSONAL,B,21700,11.99,0.38,N,2,yes
27,125000,MORTGAGE,11.0,MEDICAL,B,30000,10.99,0.24,N,10,no
29,110000,MORTGAGE,1.0,EDUCATION,E,12800,16.82,0.12,N,6,no
33,21996,RENT,0.0,VENTURE,C,9250,12.87,0.42,Y,8,yes
23,87000,MORTGAGE,7.0,EDUCATION,A,8000,5.99,0.09,N,4,no
30,50000,OWN,4.0,DEBTCONSOLIDATION,D,10000,15.95,0.2,Y,7,no
37,45000,RENT,0.0,EDUCATION,C,6000,12.61,0.13,N,17,no
23,30000,RENT,3.0,PERSONAL,A,14600,6.03,0.49,N,4,yes
24,30000,RENT,1.0,EDUCATION,C,4000,11.34,0.13,N,3,no
23,60000,RENT,3.0,EDUCATION,C,12250,10.59,0.2,N,3,no
23,76500,RENT,3.0,DEBTCONSOLIDATION,B,18000,10.65,0.24,N,4,yes
25,62393,OTHER,0.0,MEDICAL,D,20000,15.05,0.27,Y,3,yes
23,120000,RENT,7.0,EDUCATION,B,12000,11.71,0.1,N,4,no
24,21600,RENT,0.0,EDUCATION,E,2600,19.29,0.12,Y,4,yes
36,42000,RENT,2.0,VENTURE,A,7000,6.62,0.17,N,16,no
22,30000,RENT,2.0,DEBTCONSOLIDATION,D,5000,14.54,0.17,N,4,yes
24,70000,RENT,8.0,VENTURE,E,20000,14.88,0.29,N,4,yes
23,33204,RENT,7.0,EDUCATION,C,2000,14.72,0.06,Y,2,no
37,244800,MORTGAGE,20.0,MEDICAL,E,35000,18.39,0.12,N,14,yes
21,29000,RENT,0.0,EDUCATION,D,4000,14.83,0.14,N,4,yes
25,45000,MORTGAGE,9.0,EDUCATION,A,5000,,0.11,N,3,no
23,56000,RENT,1.0,EDUCATION,B,8000,10.0,0.14,N,3,no
24,49000,MORTGAGE,0.0,MEDICAL,B,5000,12.18,0.1,N,3,yes
24,35000,RENT,9.0,EDUCATION,A,1500,,0.04,N,3,no
23,62900,RENT,1.0,MEDICAL,E,16000,16.35,0.22,N,4,yes
23,54000,RENT,0.0,DEBTCONSOLIDATION,B,12000,12.42,0.22,N,2,yes
28,54400,MORTGAGE,6.0,MEDICAL,D,5000,16.07,0.08,N,8,yes
24,50000,MORTGAGE,7.0,VENTURE,B,7500,11.71,0.15,N,4,no
35,36000,RENT,4.0,MEDICAL,E,9000,18.39,0.25,Y,6,yes
24,55000,MORTGAGE,3.0,VENTURE,A,5000,7.88,0.09,N,4,no
26,145000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,20000,10.25,0.14,N,2,yes
26,29000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,7200,8.49,0.25,N,4,no
34,28800,RENT,0.0,PERSONAL,F,2500,21.36,0.09,N,9,yes
21,19200,RENT,0.0,HOMEIMPROVEMENT,B,10000,10.99,0.52,N,3,yes
31,78504,RENT,2.0,EDUCATION,C,10000,11.41,0.13,Y,8,no
23,36000,RENT,0.0,EDUCATION,B,5000,,0.14,N,3,no
25,31000,MORTGAGE,,HOMEIMPROVEMENT,A,5200,5.42,0.17,N,4,no
23,24000,RENT,1.0,VENTURE,B,5500,10.99,0.23,N,4,no
30,189000,MORTGAGE,5.0,HOMEIMPROVEMENT,E,16000,16.35,0.08,N,8,no
24,30000,RENT,3.0,MEDICAL,A,10000,5.79,0.33,N,4,yes
22,65000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,8100,13.11,0.12,N,4,no
30,43000,RENT,2.0,DEBTCONSOLIDATION,A,14400,6.99,0.33,N,10,yes
29,55000,RENT,2.0,DEBTCONSOLIDATION,B,10000,12.53,0.18,N,9,no
35,33996,RENT,2.0,MEDICAL,D,3600,16.32,0.11,N,5,yes
47,85000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5500,6.76,0.06,N,12,no
29,30000,RENT,3.0,VENTURE,A,5000,9.32,0.17,N,5,no
23,48000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,2500,11.71,0.05,N,3,no
25,38000,RENT,1.0,EDUCATION,A,10000,7.49,0.26,N,2,no
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,0.34,N,3,yes
29,42000,RENT,6.0,DEBTCONSOLIDATION,D,10800,16.29,0.26,Y,7,yes
28,40500,MORTGAGE,0.0,VENTURE,C,12000,12.23,0.3,Y,5,no
37,408000,RENT,14.0,EDUCATION,C,6000,12.61,0.01,N,13,no
23,75000,MORTGAGE,0.0,PERSONAL,A,5400,8.94,0.07,N,3,no
35,110000,RENT,2.0,VENTURE,B,11500,11.49,0.1,N,10,no
26,105400,MORTGAGE,6.0,MEDICAL,D,24000,14.61,0.19,N,3,yes
26,34000,RENT,4.0,PERSONAL,E,4200,16.82,0.12,Y,3,yes
38,35000,RENT,22.0,EDUCATION,A,11100,6.62,0.32,N,14,yes
25,38000,RENT,9.0,PERSONAL,E,15000,16.45,0.39,Y,3,yes
34,15523,OWN,1.0,VENTURE,A,3800,7.49,0.24,N,9,yes
22,37200,RENT,6.0,MEDICAL,B,10000,,0.27,N,3,yes
22,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9000,8.49,0.18,N,2,no
25,74004,RENT,2.0,DEBTCONSOLIDATION,D,7500,12.61,0.1,Y,4,yes
36,19200,RENT,,DEBTCONSOLIDATION,B,1200,9.62,0.06,N,14,no
29,61455,MORTGAGE,1.0,MEDICAL,F,10000,18.09,0.14,N,9,yes
50,74400,MORTGAGE,5.0,VENTURE,A,7000,7.49,0.09,N,14,no
48,39000,RENT,7.0,MEDICAL,D,5800,14.54,0.15,N,15,yes
38,40000,OWN,6.0,MEDICAL,A,9000,7.49,0.23,N,16,no
21,60000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,5000,13.48,0.08,N,2,no
24,56972,OWN,6.0,DEBTCONSOLIDATION,E,15000,16.4,0.26,N,4,yes
23,50000,OWN,4.0,PERSONAL,B,12600,11.71,0.25,N,4,no
23,35000,MORTGAGE,7.0,MEDICAL,C,5000,12.98,0.14,N,2,yes
23,54000,RENT,1.0,VENTURE,B,20000,11.83,0.37,N,4,yes
32,52000,MORTGAGE,1.0,VENTURE,A,1000,6.99,0.02,N,7,no
26,28700,RENT,6.0,MEDICAL,D,8500,13.55,0.3,Y,3,yes
23,9000,OWN,4.0,HOMEIMPROVEMENT,C,2000,13.35,0.22,N,2,yes
34,33500,RENT,0.0,VENTURE,B,11200,12.21,0.33,N,9,yes
23,45000,RENT,7.0,VENTURE,D,4000,16.32,0.09,Y,2,no
29,48000,RENT,11.0,VENTURE,A,3000,5.42,0.06,N,5,no
24,38000,RENT,0.0,PERSONAL,B,12000,11.89,0.32,N,3,yes
38,54000,RENT,2.0,MEDICAL,D,14000,,0.26,N,17,yes
24,50866,RENT,6.0,MEDICAL,B,20000,,0.39,N,3,yes
22,31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11225,,0.36,Y,2,yes
23,30000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,1000,6.62,0.03,N,3,yes
32,83000,MORTGAGE,1.0,EDUCATION,A,10000,8.0,0.12,N,5,no
21,28800,RENT,2.0,HOMEIMPROVEMENT,B,6000,10.62,0.21,N,3,yes
24,12000,OWN,4.0,VENTURE,B,2500,12.69,0.21,N,3,yes
22,44052,RENT,3.0,DEBTCONSOLIDATION,D,5500,,0.12,Y,2,yes
24,39996,RENT,0.0,EDUCATION,D,5000,14.11,0.13,N,2,yes
23,29004,OWN,1.0,VENTURE,C,2000,13.16,0.07,N,3,no
26,130000,RENT,2.0,PERSONAL,A,17950,,0.14,N,2,no
26,53000,RENT,11.0,EDUCATION,C,4200,14.22,0.08,N,4,no
34,35316,RENT,5.0,MEDICAL,D,7200,14.84,0.2,N,10,yes
21,19000,RENT,3.0,EDUCATION,C,4000,14.35,0.21,Y,3,yes
34,128000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,3000,,0.02,N,10,yes
28,191250,MORTGAGE,11.0,MEDICAL,E,9000,16.95,0.04,N,6,yes
24,85000,MORTGAGE,8.0,EDUCATION,B,20000,11.11,0.24,N,4,no
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,0.43,N,2,yes
27,29000,RENT,0.0,EDUCATION,D,6500,14.11,0.22,N,8,yes
24,25000,RENT,0.0,DEBTCONSOLIDATION,A,4400,6.76,0.18,N,3,no
30,72516,RENT,11.0,PERSONAL,C,5000,13.85,0.07,Y,6,no
29,27911,RENT,1.0,MEDICAL,E,5000,17.51,0.18,N,7,yes
33,36000,RENT,10.0,MEDICAL,A,12325,6.54,0.34,N,10,yes
22,41196,RENT,6.0,PERSONAL,C,6800,11.59,0.17,Y,2,no
24,22000,RENT,0.0,PERSONAL,B,4000,11.36,0.18,N,3,yes
21,30000,RENT,0.0,DEBTCONSOLIDATION,D,13750,15.05,0.46,Y,4,yes
25,39000,RENT,4.0,PERSONAL,D,14000,16.49,0.36,N,3,yes
23,27996,OWN,1.0,PERSONAL,D,4800,15.99,0.17,Y,2,no
32,98000,MORTGAGE,16.0,DEBTCONSOLIDATION,B,15000,10.95,0.15,N,5,yes
31,49000,RENT,6.0,PERSONAL,A,5600,6.03,0.11,N,6,no
27,61000,MORTGAGE,11.0,EDUCATION,B,1200,10.37,0.02,N,9,no
23,55000,MORTGAGE,8.0,VENTURE,B,7200,11.71,0.13,N,3,no
23,36000,RENT,2.0,VENTURE,C,17500,14.22,0.49,N,4,yes
27,34000,RENT,10.0,MEDICAL,D,4000,17.19,0.12,Y,9,yes
25,60000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,5000,15.27,0.08,Y,2,no
35,30000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,10000,13.43,0.33,N,7,yes
22,18000,OWN,1.0,HOMEIMPROVEMENT,A,3500,7.49,0.19,N,4,yes
24,36000,RENT,2.0,VENTURE,D,8000,14.96,0.22,Y,2,yes
32,77400,MORTGAGE,0.0,DEBTCONSOLIDATION,F,10000,18.43,0.13,N,6,yes
28,97000,MORTGAGE,9.0,VENTURE,A,12000,8.49,0.12,N,5,no
22,26400,MORTGAGE,,PERSONAL,B,1000,,0.04,N,2,yes
26,36000,RENT,,MEDICAL,C,7000,13.98,0.19,Y,2,yes
35,32000,RENT,19.0,HOMEIMPROVEMENT,A,8000,5.99,0.25,N,9,yes
24,60000,RENT,3.0,VENTURE,C,22000,14.26,0.37,Y,2,yes
35,54000,RENT,0.0,PERSONAL,D,20500,14.61,0.38,Y,5,yes
25,84000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,4200,9.25,0.05,N,4,no
28,132650,MORTGAGE,12.0,MEDICAL,B,20000,10.65,0.15,N,5,no
35,64500,MORTGAGE,7.0,MEDICAL,C,4500,12.53,0.07,N,9,no
22,70000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,4500,5.42,0.06,N,2,no
38,58000,RENT,4.0,MEDICAL,E,9500,16.35,0.16,Y,16,yes
29,12000,RENT,1.0,EDUCATION,D,4500,15.05,0.38,N,9,yes
25,130000,MORTGAGE,2.0,VENTURE,A,12000,7.51,0.09,N,2,no
53,24000,RENT,0.0,EDUCATION,D,5000,14.42,0.21,Y,27,yes
23,58000,MORTGAGE,7.0,MEDICAL,C,7200,11.97,0.12,N,2,yes
31,80000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,12400,9.99,0.15,N,6,no
25,79000,RENT,5.0,EDUCATION,B,15000,12.18,0.19,N,3,yes
30,120000,RENT,14.0,MEDICAL,A,15000,6.17,0.13,N,8,no
36,103000,RENT,6.0,VENTURE,C,25000,12.53,0.24,Y,15,yes
33,53000,RENT,4.0,DEBTCONSOLIDATION,B,3600,9.25,0.07,N,5,no
25,43000,RENT,9.0,MEDICAL,C,4000,12.99,0.09,N,4,no
36,36000,RENT,3.0,EDUCATION,B,2500,9.76,0.07,N,15,no
22,32400,RENT,2.0,MEDICAL,D,10400,14.84,0.32,N,2,yes
27,78200,OWN,4.0,MEDICAL,E,35000,17.99,0.38,Y,7,yes
33,92000,MORTGAGE,8.0,EDUCATION,C,20000,13.06,0.22,N,10,no
28,58704,RENT,5.0,DEBTCONSOLIDATION,C,23500,14.72,0.4,N,7,yes
28,78000,RENT,12.0,MEDICAL,B,3000,12.42,0.04,N,7,no
44,175000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,15000,7.66,0.09,N,17,no
28,48000,RENT,5.0,DEBTCONSOLIDATION,B,15000,11.99,0.31,N,10,yes
23,50000,RENT,1.0,DEBTCONSOLIDATION,B,6000,11.48,0.12,N,4,yes
28,125000,MORTGAGE,13.0,VENTURE,B,15000,10.25,0.12,N,7,no
25,78000,RENT,0.0,PERSONAL,D,12000,14.09,0.15,Y,3,yes
23,85000,RENT,5.0,MEDICAL,C,6700,15.23,0.08,Y,2,no
28,75000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,9600,10.62,0.13,N,7,no
27,170000,RENT,3.0,HOMEIMPROVEMENT,B,12075,12.42,0.07,N,10,no
26,54996,RENT,2.0,PERSONAL,A,12000,7.88,0.22,N,4,no
26,57600,RENT,10.0,DEBTCONSOLIDATION,D,2150,15.62,0.04,Y,3,yes
25,65000,OWN,1.0,VENTURE,C,12000,12.61,0.18,Y,4,no
26,17280,RENT,0.0,HOMEIMPROVEMENT,C,3000,,0.17,N,4,yes
26,68399,MORTGAGE,7.0,PERSONAL,A,10500,6.91,0.15,N,3,no
24,24000,RENT,0.0,VENTURE,D,7000,15.62,0.29,N,4,yes
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,0.11,N,2,yes
30,46000,RENT,5.0,MEDICAL,A,6000,6.99,0.13,N,5,no
30,32000,RENT,0.0,MEDICAL,C,6000,12.99,0.19,N,9,no
23,18000,RENT,0.0,DEBTCONSOLIDATION,B,4500,12.21,0.25,N,3,yes
29,220000,OWN,1.0,PERSONAL,F,14725,19.41,0.07,N,6,no
28,25000,RENT,1.0,VENTURE,A,5000,7.51,0.2,N,9,no
34,138000,RENT,0.0,HOMEIMPROVEMENT,E,21000,18.79,0.15,N,10,yes
34,78000,RENT,9.0,DEBTCONSOLIDATION,E,15000,16.4,0.19,N,5,yes
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,0.21,N,4,yes
27,58650,MORTGAGE,5.0,MEDICAL,E,7500,15.07,0.11,Y,9,yes
27,40000,RENT,11.0,DEBTCONSOLIDATION,A,20000,6.91,0.5,N,8,yes
39,54000,MORTGAGE,17.0,PERSONAL,B,25000,11.49,0.46,N,16,no
26,24856,RENT,0.0,DEBTCONSOLIDATION,A,3000,9.32,0.12,N,4,no
43,19440,RENT,1.0,HOMEIMPROVEMENT,B,7500,9.01,0.39,N,11,yes
44,24000,MORTGAGE,,HOMEIMPROVEMENT,D,7750,15.58,0.32,Y,13,no
26,59000,RENT,2.0,VENTURE,E,18000,16.0,0.31,N,4,yes
22,55000,RENT,7.0,MEDICAL,B,3500,9.99,0.06,N,3,no
26,30000,RENT,1.0,DEBTCONSOLIDATION,A,10000,6.99,0.33,N,4,yes
23,39000,RENT,2.0,HOMEIMPROVEMENT,D,10000,15.2,0.26,N,4,yes
36,32004,RENT,3.0,VENTURE,B,5000,10.62,0.16,N,15,no
24,51996,MORTGAGE,0.0,PERSONAL,B,12000,10.74,0.23,N,3,no
27,26237,RENT,0.0,VENTURE,C,12000,13.22,0.46,N,5,yes
28,22884,RENT,4.0,DEBTCONSOLIDATION,B,4800,10.38,0.21,N,7,no
33,90000,MORTGAGE,4.0,EDUCATION,C,12000,12.98,0.13,N,5,no
22,49000,RENT,2.0,MEDICAL,E,24000,17.56,0.49,N,4,yes
24,41000,RENT,4.0,MEDICAL,C,11525,12.99,0.28,Y,3,no
39,30400,RENT,2.0,MEDICAL,D,10000,15.7,0.33,Y,15,yes
22,31200,RENT,,VENTURE,B,4800,10.37,0.15,N,4,no
27,16800,RENT,3.0,DEBTCONSOLIDATION,B,6500,11.99,0.39,N,8,yes
28,48000,RENT,0.0,HOMEIMPROVEMENT,C,7000,12.68,0.15,N,10,yes
23,30000,MORTGAGE,0.0,VENTURE,B,13000,,0.43,N,2,no
24,83500,RENT,1.0,EDUCATION,C,20000,13.48,0.24,N,3,no
32,31000,MORTGAGE,16.0,DEBTCONSOLIDATION,A,3000,7.51,0.1,N,7,yes
21,36000,MORTGAGE,2.0,MEDICAL,C,5000,14.27,0.14,Y,2,yes
23,45000,RENT,2.0,VENTURE,A,6575,8.0,0.15,N,3,no
27,80000,RENT,3.0,DEBTCONSOLIDATION,B,7500,12.18,0.09,N,5,no
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,0.1,N,2,yes
30,36000,RENT,5.0,EDUCATION,C,11500,15.27,0.32,Y,8,yes
31,43000,RENT,15.0,MEDICAL,B,13350,12.42,0.31,N,9,yes
24,85100,RENT,3.0,EDUCATION,C,15000,,0.18,Y,2,no
24,78400,MORTGAGE,5.0,VENTURE,C,17400,13.48,0.22,N,2,no
23,58800,RENT,7.0,EDUCATION,B,3000,10.36,0.05,N,3,yes
22,33000,RENT,1.0,VENTURE,B,16000,10.99,0.48,N,2,yes
30,77000,RENT,7.0,PERSONAL,B,25000,10.75,0.32,N,8,yes
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,0.42,N,2,yes
30,15000,RENT,6.0,EDUCATION,B,2700,12.69,0.18,N,5,yes
30,93000,MORTGAGE,14.0,MEDICAL,B,22500,11.83,0.24,N,9,no
23,59000,RENT,3.0,MEDICAL,C,4500,12.68,0.08,Y,3,no
30,66000,MORTGAGE,14.0,EDUCATION,C,11200,13.49,0.17,N,9,yes
22,49000,MORTGAGE,4.0,VENTURE,A,7000,9.32,0.14,N,2,no
27,61200,MORTGAGE,5.0,MEDICAL,B,4500,11.86,0.07,N,7,no
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,0.33,Y,3,yes
25,39000,RENT,1.0,HOMEIMPROVEMENT,E,16050,17.14,0.41,Y,3,yes
29,75000,MORTGAGE,0.0,PERSONAL,B,3000,9.45,0.04,N,10,no
35,86000,MORTGAGE,19.0,MEDICAL,A,20000,6.54,0.23,N,10,no
21,45000,RENT,3.0,MEDICAL,A,9000,8.49,0.2,N,3,no
32,50400,RENT,11.0,EDUCATION,B,8400,12.42,0.17,N,7,no
23,30000,RENT,4.0,DEBTCONSOLIDATION,C,13000,13.57,0.43,Y,2,yes
26,90000,RENT,8.0,PERSONAL,C,8400,,0.09,N,2,no
26,93492,RENT,0.0,DEBTCONSOLIDATION,B,20000,9.45,0.21,N,4,no
26,17376,RENT,1.0,VENTURE,B,6000,10.99,0.35,N,3,yes
31,59000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,13000,11.14,0.22,N,7,no
26,40500,RENT,,DEBTCONSOLIDATION,A,8500,7.88,0.21,N,2,no
24,46704,RENT,2.0,EDUCATION,B,9000,11.49,0.19,N,4,no
25,57000,RENT,1.0,PERSONAL,B,9500,12.53,0.17,N,2,no
24,55000,RENT,4.0,VENTURE,A,5000,8.0,0.09,N,3,no
23,64000,MORTGAGE,7.0,EDUCATION,A,2100,6.03,0.03,N,2,no
43,84000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,12000,5.42,0.14,N,16,no
39,27040,MORTGAGE,0.0,HOMEIMPROVEMENT,A,4800,8.59,0.18,N,17,no
23,15600,RENT,3.0,EDUCATION,B,2500,10.65,0.16,N,2,yes
22,33000,RENT,3.0,HOMEIMPROVEMENT,B,6000,,0.18,N,4,yes
25,82560,RENT,6.0,DEBTCONSOLIDATION,A,4500,7.42,0.05,N,3,no
27,50004,RENT,12.0,DEBTCONSOLIDATION,B,3200,11.49,0.06,N,7,no
32,117000,RENT,0.0,PERSONAL,E,12000,17.93,0.1,Y,10,yes
21,46000,RENT,2.0,PERSONAL,D,5200,17.27,0.11,Y,3,yes
31,51500,RENT,6.0,HOMEIMPROVEMENT,D,19000,14.83,0.37,N,10,yes
38,21600,OWN,1.0,EDUCATION,C,4750,15.23,0.22,Y,16,no
38,43000,RENT,22.0,MEDICAL,D,10000,16.89,0.23,Y,12,yes
25,60000,RENT,9.0,HOMEIMPROVEMENT,B,4500,10.99,0.07,N,2,yes
23,80000,MORTGAGE,,PERSONAL,A,3000,5.99,0.04,N,3,no
26,65450,MORTGAGE,3.0,MEDICAL,B,10800,12.21,0.14,N,3,yes
22,70550,RENT,4.0,MEDICAL,E,12000,15.68,0.14,N,3,yes
30,15000,RENT,2.0,HOMEIMPROVEMENT,D,4000,13.67,0.27,Y,7,yes
23,46000,RENT,2.0,EDUCATION,F,12800,19.41,0.28,Y,3,yes
49,64800,MORTGAGE,4.0,HOMEIMPROVEMENT,D,6625,18.25,0.1,N,16,no
28,38688,RENT,2.0,EDUCATION,C,3000,12.73,0.08,Y,8,no
24,88000,RENT,2.0,HOMEIMPROVEMENT,B,15000,9.99,0.17,N,4,yes
36,46000,MORTGAGE,6.0,PERSONAL,C,5350,15.27,0.12,N,12,yes
44,80000,MORTGAGE,14.0,MEDICAL,A,10000,6.03,0.13,N,15,no
31,25000,RENT,0.0,MEDICAL,A,13000,8.9,0.52,N,7,yes
26,103872,RENT,6.0,DEBTCONSOLIDATION,G,24000,20.03,0.23,N,4,yes
25,120000,MORTGAGE,4.0,EDUCATION,B,10000,9.91,0.08,N,4,no
23,45312,RENT,3.0,EDUCATION,A,13500,7.88,0.3,N,3,no
26,29400,MORTGAGE,4.0,MEDICAL,A,12000,9.32,0.41,N,4,yes
22,40000,RENT,3.0,DEBTCONSOLIDATION,A,1000,7.9,0.03,N,4,no
24,73000,RENT,1.0,DEBTCONSOLIDATION,B,5000,9.01,0.07,N,2,no
26,25000,RENT,1.0,MEDICAL,C,1000,14.65,0.04,Y,3,no
27,64000,OWN,11.0,VENTURE,A,5000,5.79,0.08,N,5,no
25,42000,RENT,9.0,VENTURE,C,11500,13.79,0.27,Y,3,no
30,36000,MORTGAGE,4.0,PERSONAL,C,11500,13.57,0.32,N,8,no
29,50000,OWN,3.0,HOMEIMPROVEMENT,B,4200,9.91,0.08,N,5,no
26,36000,MORTGAGE,5.0,PERSONAL,A,4000,,0.11,N,3,no
21,27996,RENT,2.0,VENTURE,B,14075,,0.5,N,2,yes
23,84000,MORTGAGE,2.0,EDUCATION,D,20000,12.61,0.24,Y,2,no
30,33736,RENT,5.0,MEDICAL,C,13600,13.57,0.4,Y,9,yes
24,42765,RENT,9.0,DEBTCONSOLIDATION,C,18000,11.03,0.42,Y,2,yes
29,65000,RENT,5.0,EDUCATION,B,7500,12.69,0.12,N,10,no
22,39000,RENT,5.0,PERSONAL,D,9600,16.77,0.25,Y,2,yes
61,160000,MORTGAGE,30.0,PERSONAL,B,24000,10.38,0.15,N,21,no
31,59712,RENT,0.0,DEBTCONSOLIDATION,E,24000,17.43,0.4,N,9,yes
32,96000,RENT,1.0,PERSONAL,B,5000,11.99,0.05,N,9,no
25,35364,RENT,0.0,VENTURE,A,10000,9.32,0.28,N,4,no
33,88296,MORTGAGE,0.0,DEBTCONSOLIDATION,E,15000,15.88,0.17,N,8,yes
35,52000,RENT,2.0,VENTURE,B,9000,,0.17,N,9,no
25,24000,RENT,0.0,PERSONAL,B,2000,10.38,0.08,N,4,no
29,44000,RENT,14.0,DEBTCONSOLIDATION,B,16000,,0.36,N,9,yes
22,36000,OWN,4.0,EDUCATION,D,5000,14.61,0.14,N,2,no
31,109440,RENT,9.0,DEBTCONSOLIDATION,D,5600,,0.05,N,10,yes
39,30000,RENT,1.0,HOMEIMPROVEMENT,E,7675,16.0,0.26,Y,16,yes
23,63200,OTHER,0.0,DEBTCONSOLIDATION,B,4800,12.53,0.08,N,4,no
23,31200,RENT,0.0,PERSONAL,C,3200,13.49,0.1,Y,2,no
24,55160,RENT,0.0,EDUCATION,A,3000,8.9,0.05,N,3,yes
27,20000,RENT,0.0,DEBTCONSOLIDATION,D,4350,16.29,0.22,Y,7,yes
26,30000,RENT,4.0,MEDICAL,C,8000,13.98,0.27,N,2,no
24,53000,RENT,0.0,EDUCATION,B,6000,11.49,0.11,N,2,no
24,75000,OWN,8.0,HOMEIMPROVEMENT,B,29800,,0.4,N,4,no
26,57800,MORTGAGE,0.0,MEDICAL,D,15000,,0.22,Y,3,yes
28,39912,MORTGAGE,2.0,EDUCATION,A,10000,8.49,0.25,N,8,yes
23,175000,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0.12,N,3,no
23,33359,RENT,2.0,MEDICAL,A,9000,,0.27,N,4,yes
52,163000,MORTGAGE,9.0,PERSONAL,D,25000,14.11,0.15,N,30,yes
40,55000,RENT,14.0,EDUCATION,A,18000,7.88,0.33,N,14,yes
32,121500,MORTGAGE,11.0,VENTURE,A,6000,7.51,0.05,N,6,no
27,75860,RENT,9.0,MEDICAL,B,24000,10.99,0.32,N,5,yes
28,54000,RENT,2.0,EDUCATION,D,10000,16.49,0.19,Y,7,yes
22,34404,RENT,2.0,HOMEIMPROVEMENT,D,7500,15.05,0.22,N,2,yes
26,50400,RENT,10.0,HOMEIMPROVEMENT,B,15000,10.75,0.3,N,2,no
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,0.28,N,3,yes
24,132000,MORTGAGE,8.0,VENTURE,D,14000,17.49,0.11,Y,2,no
43,42000,MORTGAGE,0.0,MEDICAL,A,7775,5.99,0.19,N,16,no
24,47000,MORTGAGE,3.0,MEDICAL,B,12000,12.21,0.26,N,3,no
28,35600,RENT,3.0,EDUCATION,A,4000,7.49,0.11,N,6,no
24,32000,RENT,5.0,EDUCATION,C,12000,13.85,0.38,N,3,yes
26,73008,MORTGAGE,4.0,DEBTCONSOLIDATION,E,15000,15.68,0.21,Y,3,yes
22,12000,RENT,0.0,EDUCATION,C,1000,13.57,0.08,N,2,yes
40,108000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,6000,17.27,0.06,N,16,yes
31,16000,RENT,1.0,EDUCATION,C,3000,13.85,0.19,Y,6,yes
34,94000,MORTGAGE,3.0,MEDICAL,A,15000,6.54,0.16,N,5,no
24,36000,MORTGAGE,5.0,MEDICAL,C,4000,15.23,0.11,Y,3,yes
44,44000,MORTGAGE,2.0,VENTURE,C,5000,12.23,0.11,Y,12,yes
31,57800,RENT,2.0,MEDICAL,E,25000,17.19,0.37,N,8,yes
28,108000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,5000,12.87,0.05,Y,9,no
31,68400,MORTGAGE,3.0,EDUCATION,B,15000,11.71,0.22,N,5,no
26,54000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,4800,11.49,0.09,N,2,yes
22,10000,RENT,0.0,HOMEIMPROVEMENT,D,1000,14.74,0.1,N,4,yes
